Username,Review Text,Rating
Toasterqueen12,"Y'all know that the ""xXXi_wud_nvrstøp_ÜXXx"" flow is from Soulja Boy's kiss me thru the phone, right? 
Also this is either the best comedy album of the year or ""The Room"" of music.
Either way, I had fun.
Edit: Yeah, this is going to be my album of the summer. I've already listened to it 4 times and that's something I NEVER do
Edit 2: Congratulations dumbass. You somehow already made this the album you've listened to the most in 2019. In a year with Tyler, Kevin, Denzel, and Weyes Blood I chose THIS as my most listened album!?
Edit 3: This album is a blessing. I will die for this album. I surrender myself to 1000 Gecs.
Edit 4: yeah this will be my AOTY. I have never seen an album cater to me so hardly. 1) Versatile as hell2) Dumb simi-ironic humor3) Being Oddly Wholesome in a way4) Experimental sound I don't come in contact with irl5) Strange enough so that I can skeev my irl friends out.
Edit 5: I'm going to feel so bad when I inevitably put 100 Gecs over Wayes Blood in my 2019 AOTY List
Edit 6: https://twitter.com/xxlaura_lesxx/status/1162127034094694400 IUFISDNFISBIUFBIDSYH I LOVE YOU LAURA!",100
Brad Taste,"Gecgecgecgec gotgotgotgot
Saw these two jokers live, made me revisit this album
It’s like taking ecstasy and landing in candy land. It captures this sound and feeling really well
It might grow on me
Edit: nothing like it, addictive and the memes are amazing
Edit (score from 81 to 93): There is an argument to be made about supply and demand. 100 Gecs supply something that is unlike really anything else, and I cannot get enough. As a result I come back, and will probably never let this album leave rotation until everyone is doing what Gecs do here.",93
MothaOfMotha12,"1000 gecs is jam packed with lyrical tracks like ""gecgecgec"" with exceptional lyrics like ""gecgecgecgecgecgecgecgecgecgecgecgecgecgecgecgecgecgecgecgecgecgecgecgecgecgecgecgecgecgecgecgecgec""",99
Chode,"This seriously has the potential to be one of the most influential albums of the 2010s. 50 years in the future this album is gonna be like Abbey Road but for coomers.
The gec tree will be the new Abbey Road crosswalk",80
cakenator,"October: man this album sucksNovember: oh god this really sucksDecember: Y'know, maybe its not that bad, its kinda funnyJanuary: its growing on meFebruary: GECGECGECGECGECGECGECGECGECGECGECGECGECGECGECGECGECGECGECGECGECGECGECGECGECGECMarch: HeY yOu LiTtLe PiSsBaByApril: I've given up on all hopeMay: WhyJune: I’m still here updating thisSeptember: finally backNovember: I sill like it",85
lexa 🍃,"EDIT: it just keeps getting better. stupid horse has grown on me a lot. 83/100
EDIT 2: IT JUST KEEPS. GETTING. BETTER. 86/100
EDIT 3: caving 90/100
original score: 75/100
let me start this review off by saying i 100% understand if you don't like 1000 gecs. hell, if you HATE it, i get it. it's a loud, jarring, and borderline stupid album. if you can't really handle its rapid transitions and loud edm sections, or if you just think it sounds bad, no worries! you're totally entitled to your own opinion, and don't let anyone stop you! in my opinion, i think it's flawed, certainly, but for the most part 1000 gecs fuckin bops.
i'm a fan of the PC music style and general sound of bubblegum bass/deconstructed club. shit like GFOTY, Hannah Diamond, and Product-era Sophie i enjoy quite a bit. but this, this is like... next level fucking insanity. it's like hyperpop. like pop music has fucking ascended to a level beyond our comprehension, or shifted to the 5th dimension and we're using our 3D perception to try and piece it together. some of these tracks are just borderline sound collage - gecgecgec and I Need Help Immediately being the clearest examples of this. they're barely songs, they're like quilts of sound stitched together with the weirdest fabrics imaginable. but the more structured tracks here are also super jarring and cobbled together - 745 sticky starts like an early Sophie single, before morphing into a heavy as fuck dubstep section that comes out of complete nowhere. it's demonic as all hell, and shows a darker, more menacing beast hiding behind the sparkly cover of this album. xXXi_wud_nvrstøp_ÜXXx starts off like a 2010 house track and has sweet lead vocals, until it falls apart into a distorted hardstyle rhythm that fills the track with a ton of weird energy. you can't help but get into the groove, but it's such a jarring change every time it hits. i'm never ready for it, it always catches me off guard.
some of the more straight-forward tracks here are actually pretty great too. money machine, of course, is an absolute banger. the absolute confidence it takes to start a song with ""hey you lil piss baby"" is fucking incredible, and Laura's lead vocals are so cocky and mean i just want her to beat me up and spit on me and i would thank her. also, that fuckin chorus pops, not even gonna lie. it sounds amazing, even through Laura's weird autotuned voice. the outro on money machine is like, this weird distorted, extremely bass-boosted section that absolutely destroys my ears, but it fits in with the weird, mean, almost bully-like tone of the track. 800db cloud is beyond banger, it's a fucking earth-shatterer. the bass on this track is insanely physical and crushing, it feels like my bones are breaking. Dylan's vocal melody and the overall tone of the track reminds me of like, one of XXX's insane overblown tracks, but like even further beyond. X could only dream of making something this fucking insane. the like, idk, death metal section at the end? i'm not the biggest fan of at all because i hate the fucking vocals, but it doesnt last too long. and god, that's the best part of this album - it doesnt stay around for long at all. 23 minutes is the perfect length for a project this weird and with this much energy. i doubt i could stand it for longer. and because so many of these songs have different sections, it never gets stale. it's constantly moving and shifting from batshit insane idea to batshittier, even insaner idea. 
ringtone is possibly the most accessible track here, reading like a corrupted Hannah Diamond track. it's all about the specific ringtones you set for your boyfriend/girlfriend, and it's super cute but still fucking evil, especially in the 2nd half. Dylan's distorted and blown-out vocals sound terrifying, matching his lyrics about how after the breakup, the ringtone just makes him sick. it's a great, standout track from this album.
i've said a lot of good stuff about 1000 gecs, but it's far, far, fAR from a perfect album. first of all, it's gimmicky as all hell, and i doubt another album exactly like this will be nearly as enjoyable. 100 gecs will have to kinda change it up a little, by either getting closer to their contemporaries, or... *shudder* getting MORE experimental and weird. also, 1000 gecs doesnt have the most staying power. because so many of these tracks are constantly changing and morphing, it becomes hard to like, make a huge impact. the only real songs that stick with me are money machine, ringtone, and stupid horse. the rest are good while they're on, but not super memorable or sticky. and honestly? sometimes it just sounds bad. the metal section on 800db cloud kinda sucks, I Need Help Immediately's midi samples are boring and uninteresting, and as weird and memorable as stupid horse is, the weird fusion of ska punk, emo trap, and like happy hardcore just don't work at all for me. in the future, gecs will have to focus more on making stuff that sounds good, rather than being weird and shocking in my opinion.
so those are my thoughts on one of the most divisive albums of the year. i like it. if you don't, that's okay. it's absurd, it's loud, and it's fun. and while they clearly take a lot of inspiration from bubblegum bass artists of the past few years, they've made an album that's unquestionably gecs.
FAVORITE - money machine, ringtone, gec 2 Ü, stupid horse, hand crushed by a malletLEAST FAVORITE - I Need Help Immediately",90
Pipe,"Oh Melon, what pleasentries await me?
So I had no idea to expect with this album. Like, literally none. All I knew going in to this album was that it was weird, electronic, and that apparently their was a ska song on here? So that's literally all I knew going into this album. I expected the best...
And oh god my ass. It burns. My ass burns.
There is a fine line here of genius and stupidity on this album. The beats and production sounds like it was created through the means of a experimental pop blender, incorporating elements of video game music, death metal, jazz, electronic music, hip hop, pop, and yes...even ska. And while it does take a while to get into the groove for this 23 minute album that could be mistaken for something that Big Baller B would conjure up. It's almost meme like, but in a way that doesn't feel hack-kneed or annoying, it's a lot more interesting while still being hilarious. And it does take roads that I genuinely didn't expect stylistically.
Although...it is hard to take this project all that seriously. It honestly feels like a meme album that would be made by fellow AOTY users, because this thing did make me die laughing the first time I heard this thing. I mean, how else was I supposed to react to a song like I Need Help Immediatly (a song so bizarre I don't think I could describe it). And listen to the vocals! They sound like they came from a lovechild of Travis Scott and one of the chimpmunks for gods sake! But at the same time, I could never say that I wasn't entertained the entire time I was listening to this thing. It has a certain meme-able quality that is kinda infectious.
Sorry for the unoriginal rating, but I've come to the conclusion that if you gave this duo a studio and a million dollars to do whatever they wanted to do, they would create something so bizarre and strange that it could be the Mr Bungle or the King Crimson of this generation. But, at their current stage, this bizarre record is just that: a bizarre record that needs to be heard to be experienced. And might go down as one of the most entertaining albums of the year.
Favorite Jams: 800db cloud, ringtone
Lest Favorite: I Need Help Immediately",65
Laz,"Sits somewhere between smart, boundary-pushing experimentation and dumb, gimmicky absurdism. Either way, I don't hate it.",90
Kanye,never fucking mind this is terrible,35
usedtobe,"Look, I am all out for music pushing its boundaries and the experimental but this is just straight up horrendous. Being edgy and being different doesn't equate to unique or revolutionary. Did I just hear the worst record of the year? :/",0
